Vendor Name, 01 - January , 02 - February , 03 - March , 04 - April ,05 - May,
ADOBE INC.,, 437.59 ," 1,646.26 ",, 324.15 ,
AMAZON BUSINESS, 822.21 ,, 633.43 ," 1,382.41 ", 304.00 ,
AMERICAN SOLUTIONS FOR BUSINESS," 5,330.62 ", 125.00 ," 15,234.78 ", 209.37 ,,
"BIZZABO, INC.",,,," 22,679.27 ",,
BRAD MCDONALD,, 212.96 , 812.96 ,," 1,462.66 ",
"CONCUR TECHNOLOGIES, INC"," 3,702.28 "," 3,702.28 "," 3,702.28 "," 3,847.01 "," 3,522.25 ",
FEDERAL EXPRESS, 107.55 , 374.81 ," 2,758.01 "," 1,099.40 ", 714.26 ,
"GROSS, MENDELSOHN & ASSOCIATES", 93.00 ,," 21,381.00 ", 601.50 ,,
"HUBSPOT, INC.",," 2,035.20 ", 128.81 ," 6,105.60 "," 2,134.16 ",
IRON MOUNTAIN, 265.38 , 265.38 , 265.38 , 265.38 , 265.38 ,
IRONMARK INC.," 6,275.92 ", 275.00 ," 35,918.92 ",,,
KEAP," 3,042.11 "," 3,042.11 "," 3,042.09 ",,,
LAMBDA SOLUTIONS,," 3,000.00 "," 208,050.00 ",,,
LINKEDIN CORPORATION,,," 9,805.00 ",,,
"MARKETING EFFICIENCY CONSULTANTS, LLC"," 1,040.00 "," 2,360.00 "," 3,515.00 "," 2,525.00 "," 1,370.00 ",
MIMEO.COM INC.," 12,137.00 ", 797.51 ," 64,369.27 "," 19,081.58 "," 22,211.68 ",
MNS GROUP," 58,499.13 "," 41,553.32 "," 167,964.86 "," 36,867.12 "," 49,989.31 ",
MODA EXPERTS," 69,415.00 "," 60,800.00 "," 41,300.00 "," 101,900.00 "," 105,890.00 ",
MONDAY.COM LTD," 1,377.50 ",,," 2,500.00 ",,
"OUTMATCH, INC."," 50,000.00 "," 50,000.00 "," 52,500.00 "," 50,000.00 "," 50,000.00 ",
PC CONNECTION SALES CORP,,," 4,822.76 ",,,
RHYME DIGITAL LLC,,," 1,815.00 ",,,
